Bill,Bill Name,Summary, Category,,,,,,,,,,category,,,,category
HB1003,Revenue and taxation; sales tax exemption; American Legion; effective da...,Revenue and taxation; sales tax exemption; American Legion; effective date; emergency.,Tax,,,,,,,,,,,,,,Other
SB603,Dentistry; broadening permitted examinations for licensure; temporary li...,Dentistry; broadening permitted examinations for licensure; temporary licenses; permits; continuing education requirements.,Healthcare,,,,,,,,,,,,,,Other
HCR1004,Commemoration; commemorating Workers Memorial Day.,Commemoration; commemorating Workers Memorial Day.,Culture,,,,,,,,,,,,,,Other
SB509,Health insurance; requiring guidelines for step therapy protocol for cer...,Health insurance; requiring guidelines for step therapy protocol for certain health insurance plans. Effective date.,Healthcare,,,,,,,,,,,,,,Other
HCR1008,"Health; proclaiming May 12 through May 18, 2019, Food Allergy Awareness ...","Health; proclaiming May 12 through May 18, 2019, Food Allergy Awareness Week.",Healthcare,,,,,,,,,,,,,,Other
SB432,State Board of Career and Technology Education; allowing the establishme...,State Board of Career and Technology Education; allowing the establishment of a statewide aerospace training facility.,Technology,,,,,,,,,,,,,,Other
SR3,"A resolution proclaiming April 2, 2019, as Oklahoma Agriculture Day; joi...","A resolution proclaiming April 2, 2019, as Oklahoma Agriculture Day; joining efforts to continue to recognize and support agriculture; and directing distribution.",Culture,,,,,,,,,,,,,,Other
SB135,State purchasing procedures; relating to Central Purchasing Act; providi...,State purchasing procedures; relating to Central Purchasing Act; providing certain preference for honorably discharged veterans. Effective date. Emergency.,Veterans,,,,,,,,,,,,,,Other
HB2362,Militia; creating the Oklahoma Uniform Code of Military Justice; effecti...,Militia; creating the Oklahoma Uniform Code of Military Justice; effective date.,Military,,,,,,,,,,,,,,Culture
SB100,Practice of optometry; revocation of licenses; unprofessional or unethic...,Practice of optometry; revocation of licenses; unprofessional or unethical conduct; providing optometrists may rent areas within retail stores; prescriptions. Effective date.,Healthcare,,,,,,,,,,,,,,Culture
SCR1,Concurrent resolution; urging ratification of Parental Rights Amendment.,Concurrent resolution; urging ratification of Parental Rights Amendment.,Guardianship,,,,,,,,,,,,,,Culture
SB340,Soldiers and sailors; increasing maximum reimbursement rate for unpaid e...,Soldiers and sailors; increasing maximum reimbursement rate for unpaid expenses resulting from interment or cremation. Effective date.,Military,,,,,,,,,,,,,,Culture
HB1052,Soldiers and sailors; specifying certain program shall provide reimburse...,Soldiers and sailors; specifying certain program shall provide reimbursement for unpaid interment or cremation; effective date.,Military,,,,,,,,,,,,,,Culture
HB2304,Public retirement systems; Oklahoma Pension Legislation Actuarial Analys...,Public retirement systems; Oklahoma Pension Legislation Actuarial Analysis Act; benefit increase; effective dates.,Retirement,,,,,,,,,,,,,,Culture
HCR1001,Concurrent Resolution; relationship between Oklahoma and Republic of Chi...,Concurrent Resolution; relationship between Oklahoma and Republic of China (Taiwan); findings; distribution.,Diplomacy,,,,,,,,,,,,,,Culture
SR8,A resolution condemning persecution of Christianity around the world; an...,A resolution condemning persecution of Christianity around the world; and urging the President and Congress to take action.,Religious,,,,,,,,,,,,,,Culture
HB1295,Information technology; authorizing the Department of Veterans Affairs t...,Information technology; authorizing the Department of Veterans Affairs to make certain purchases without regard to certain requirements.,Technology,,,,,,,,,,,,,,Culture
SB134,Public finance; authorizing Department of Veterans Affairs to make certa...,Public finance; authorizing Department of Veterans Affairs to make certain purchases. Effective date. Emergency.,Veterans,,,,,,,,,,,,,,Culture
SR5,A resolution recognizing and thanking for service; and directing distrib...,A resolution recognizing and thanking for service; and directing distribution.,Veterans,,,,,,,,,,,,,,Culture
SB232,Definitions and general provisions; designating Oklahoma as a Purple Hea...,Definitions and general provisions; designating Oklahoma as a Purple Heart State. Effective date.,Veterans,,,,,,,,,,,,,,Culture
HB2632,Insurance; creating the Patient's Right to Pharmacy Choice Act; establis...,Insurance; creating the Patient's Right to Pharmacy Choice Act; establishing a Right to Patient Choice Advisory Committee; effective date.,Insurance,,,,,,,,,,,,,,Other
HB2638,Insurance; step therapy reform; providing guidelines; effective date.,Insurance; step therapy reform; providing guidelines; effective date.,Insurance,,,,,,,,,,,,,,Other
HCR1006,Oklahoma Mesonet; celebrating the twenty-fifth anniversary of the Oklaho...,Oklahoma Mesonet; celebrating the twenty-fifth anniversary of the Oklahoma Mesonet.,Culture,,,,,,,,,,,,,,Other
HB3427,Revenue and taxation; aircraft excise tax; apportionment; effective date...,Revenue and taxation; aircraft excise tax; apportionment; effective date; emergency.,Tax,,,,,,,,,,,,,,Other
SB1896,Unmanned aerial systems; creating the Unmanned Aircraft Systems Developm...,Unmanned aerial systems; creating the Unmanned Aircraft Systems Development Act of 2020; allowing for certain agency to develop certain test and procedures for operating unmanned aerial systems. Effective date. Emergency.,Technology,,,,,,,,,,,,,,Other
SB1489,Crime and punishment; providing for certain unlawful actions; providing ...,Crime and punishment; providing for certain unlawful actions; providing for penalties. Effective date. Emergency.,CrimeandPunishment,,,,,,,,,,,,,,Government
HB2927,Children; creating the Connecting Futures Act; pilot program; Oklahoma H...,Children; creating the Connecting Futures Act; pilot program; Oklahoma Higher Learning Access Program; application; effective date.,Education,,,,,,,,,,,,,,Government
SR12,"A resolution declaring February 18, 2020, as FFA Day in Oklahoma; applau...","A resolution declaring February 18, 2020, as FFA Day in Oklahoma; applauding FFA's positive impact.",Culture,,,,,,,,,,,,,,Government
HCR1012,Railroads; encouraging and supporting the expansion of rail line from Sh...,Railroads; encouraging and supporting the expansion of rail line from Shawnee to McAlester.,Railroads,,,,,,,,,,,,,,Government
HB3862,Professions and occupations; optometry; modifying scope of practice; eff...,Professions and occupations; optometry; modifying scope of practice; effective date.,Healthcare,,,,,,,,,,,,,,Government
HB3655,Motor vehicles; creating the Peer-to-Peer Car Sharing Program Act; defin...,Motor vehicles; creating the Peer-to-Peer Car Sharing Program Act; defining terms; effective date.,MotorVehicles,,,,,,,,,,,,,,Government
HB2793,Children; permanent guardianships; effective date.,Children; permanent guardianships; effective date.,Guardianship,,,,,,,,,,,,,,Guardianship
HCR1011,Veterans; Oklahoma Veterans Pilot Program; supporting mission; requestin...,Veterans; Oklahoma Veterans Pilot Program; supporting mission; requesting the creation of a statewide public information program; directing distribution.,Veterans,,,,,,,,,,,,,,Guardianship
SR13,Commemorating the 100th anniversary of Oklahoma's ratification of the 19...,Commemorating the 100th anniversary of Oklahoma's ratification of the 19th Amendment,Culture,,,,,,,,,,,,,,Guardianship
HB3104,Professions and occupations; creating the Predatory Real Estate Wholesal...,Professions and occupations; creating the Predatory Real Estate Wholesaler Prohibition Act; prohibiting certain contracts for sale of real property.,Industry,,,,,,,,,,,,,,Guardianship
HB4013,Cities and towns; condemnation procedures; modifying certain definition;...,Cities and towns; condemnation procedures; modifying certain definition; effective date.,Other,,,,,,,,,,,,,,Guardianship
HB2891,Holidays; Veterans Suicide Awareness Week; emergency.,Holidays; Veterans Suicide Awareness Week; emergency.,Culture,,,,,,,,,,,,,,Guardianship
HB3350,Public retirement systems; cost-of-living; increasing benefit; effective...,Public retirement systems; cost-of-living; increasing benefit; effective date; emergency.,Retirement,,,,,,,,,,,,,,Healthcare
HB2272,Retirement; Public Employees Retirement System; benefit computations; de...,Retirement; Public Employees Retirement System; benefit computations; deputy sheriffs or county jailers; death benefits; contribution rates; effective date.,Retirement,,,,,,,,,,,,,,Healthcare
SR14,Recognizing September 17 as Constitution Day and Citizenship Day and the...,Recognizing September 17 as Constitution Day and Citizenship Day and the week of September 17-23 as Constitution Week.,Culture,,,,,,,,,,,,,,Healthcare
HB3041,Law enforcement; developmental disability awareness training; option to ...,Law enforcement; developmental disability awareness training; option to attend training; curriculum; effective date.,LawEnforcement,,,,,,,,,,,,,,Healthcare
SCR11,Concurrent Resolution; memorializing the 25th anniversary of the Oklahom...,Concurrent Resolution; memorializing the 25th anniversary of the Oklahoma City bombing; recognizing state employees; urging Oklahomans to be Looking Back and Thinking Forward; remembering state workers; urging Oklahomans t...,Culture,,,,,,,,,,,,,,Healthcare
SR19,"Expressing appreciation to Chief Sergeant-at-Arms, Bob Craig; thanking h...","Expressing appreciation to Chief Sergeant-at-Arms, Bob Craig; thanking him for 50 years with the State of Oklahoma; wishing him well upon his retirement; and directing distribution.",Culture,,,,,,,,,,,,,,Healthcare
SR20,Expressing gratitude to Senator Gary Stanislawski for his service in the...,Expressing gratitude to Senator Gary Stanislawski for his service in the Oklahoma State Senate; and directing distribution.,Culture,,,,,,,,,,,,,,Healthcare
HB3706,Landlord and tenant; delinquent rent; providing for late charges within ...,Landlord and tenant; delinquent rent; providing for late charges within certain percentage of monthly rent not be a penalty; effective date.,Property,,,,,,,,,,,,,,Healthcare
HB2789,Civil procedure; subpoenas; electronic service; effective date.,Civil procedure; subpoenas; electronic service; effective date.,CivilProcedures,,,,,,,,,,,,,,Healthcare
SB931,Soldiers and sailors; creating the Revised Uniform Veterans' Guardianshi...,Soldiers and sailors; creating the Revised Uniform Veterans' Guardianship Act; appointing guardianship for certain veterans; providing qualifications. Emergency.,Veterans,,,,,,,,,,,,,,Other
SB104,Oklahoma Real Estate License Code; prohibiting certain inducements to se...,Oklahoma Real Estate License Code; prohibiting certain inducements to secure customers or clients. Effective date.,Property,,,,,,,,,,,,,,Insurance
SB910,Income tax; providing a deduction for certain value of specified propert...,Income tax; providing a deduction for certain value of specified property donated by aerospace business enterprise. Effective date.,Tax,,,,,,,,,,,,,,Insurance
HB2642,Children; establishing Oversight Committee on the Delivery of Child Welf...,Children; establishing Oversight Committee on the Delivery of Child Welfare Services; emergency.,Guardianship,,,,,,,,,,,,,,Insurance
HB2365,Property; authorizing use of certain contingency for real estate contrac...,Property; authorizing use of certain contingency for real estate contracts; effective date.,Property,,,,,,,,,,,,,,Insurance
HB1374,Prisons and reformatories; delivery of sentenced persons; directing cert...,Prisons and reformatories; delivery of sentenced persons; directing certain reimbursement; creating the Department of Corrections Offender Transport Revolving Fund; emergency.,Prisons,,,,,,,,,,,,,,Insurance
SB922,Insurance; expanding coverage of mammography screening. Effective date.,Insurance; expanding coverage of mammography screening. Effective date.,Insurance,,,,,,,,,,,,,,Insurance
SB942,Oklahoma Public Employees Retirement System; modifying definition of non...,Oklahoma Public Employees Retirement System; modifying definition of nonfiscal retirement bill; providing for purchase of military service at certain cost. Effective dates.,Retirement,,,,,,,,,,,,,,Other
